player,Team,Format,matches,Innings,NO,runs,wickets,average,bowling_average,strike_rate,HS,100s,50s,batting_position,image_url,role
Azmatullah Omar zai,Afghanistan,Odi,40,32,9,1073,40,46.65,28.80,97.72,149*,1,8,6,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/347800/347832.jpg ,fast-bowling
Muhammad Nabi,Afghanistan,Odi,174,152,17,3678,176,27.24,32.57,87.48,136,2,17,7,https://img1.hscicdn.com/image/upload/f_autot_ds_square_w_640q_50/lsci/db/PICTURES/CMS/383200/383215.png , right-arm-off-spinner
Roamrio Shepherd,Windie,Odi,39,27,3,406,33,16.91,41.18,101.24,50,0,1,7,https://tse1.mm.bing.net/th/id/OIP.uyFJoXgljyeurPgEuqCHqQHaHa?pid=Api&P=0&h=220 ,fast-bowler
Wanindu Hasaranga,Srilanka,Odi,66,54,8,1030,108,22.39,24.06,108.19,80*,0,4,7,https://d16f573ilcot6q.cloudfront.net/wp-content/uploads/2024/08/Wanindu-Hasaranga-for-Sri-Lanka.webp , leg-spinner
Mehdi Hassan,Bangladesh,Odi,11,10,2,122,14,15.25,31.14,64.89,29,0,0,7,https://tse1.mm.bing.net/th/id/OIP.MM94JTJT_qVQolbvHc4krwHaIL?pid=Api&P=0&h=220 ,right-arm-off-spinner
Maichel Bracewell,New Zeland,Odi,34,29,9,757,36,37.85,34.41,115.39,140,2,2,7,https://img1.hscicdn.com/image/upload/f_autot_ds_w_1280q_80/lsci/db/PICTURES/CMS/397700/397724.jpg ,right-arm-off-spinner
Jacod Bethell,England,Odi,15,13,1,486,8,40.50,38.00,101.88,110,1,4,5,https://img1.hscicdn.com/image/upload/f_autot_ds_w_1280q_80/lsci/db/PICTURES/CMS/405900/405903.jpg ,left-arm-orthadox
Shadab Khan,Pakistan,Odi,70,44,11,855,85,25.90,34.82,85.75,86,0,4,8,https://img1.hscicdn.com/image/upload/f_autot_ds_w_1280q_80/lsci/db/PICTURES/CMS/384800/384836.jpg ,leg-spinner
Wiaan Mulder,South Africa,Odi,30,24,6,338,26,18.77,38.23,84.92,64,0,2,7,https://img1.hscicdn.com/image/upload/f_autot_ds_w_1280q_80/lsci/db/PICTURES/CMS/403300/403345.jpg ,right-arm-medium-fast
Sikander Raza,Zimbabwe,Odi,153,144,23,4476,94,36.99,43.64,86.30,141,7,24,6,https://img1.hscicdn.com/image/upload/f_autot_ds_w_1280q_80/lsci/db/PICTURES/CMS/405500/405597.jpg ,right-arm-off-spinner
James Neesham,New Zealand,Odi,76,65,12,1495,71,28.20,36.00,99.93,97*,0,7,7,https://img1.hscicdn.com/image/upload/f_autot_ds_w_1280q_80/lsci/db/PICTURES/CMS/391300/391356.jpg ,right-arm-medium-fast